placestate	industry	year	growthdeals
Seattle, WA	Non-High Technology	2016	1
Framingham, MA	Medical/Health/Life Science	1998	2
Philadelphia, PA	Information Technology	2001	2
Orlando, FL	Medical/Health/Life Science	1986	1
Sunnyvale, CA	Medical/Health/Life Science	1986	2
McNair, VA	Information Technology	2005	3
San Diego, CA	Medical/Health/Life Science	1988	3
Oklahoma City, OK	Non-High Technology	1981	1
Nashua, NH	Information Technology	1998	1
Pittsburgh, PA	Medical/Health/Life Science	2004	2
San Carlos, CA	Information Technology	2000	2
Los Gatos, CA	Information Technology	2015	6
Ann Arbor, MI	Information Technology	1998	1
Raleigh, NC	Information Technology	1983	3
Buffalo, NY	Non-High Technology	1986	1
Wilmington, DE	Information Technology	1990	1
Alameda, CA	Information Technology	1996	1
San Francisco, CA	Information Technology	2020	175
Hayward, CA	Non-High Technology	2017	1
Westport, CT	Non-High Technology	1984	3
Westborough, MA	Medical/Health/Life Science	1999	1
Peachtree Corners, GA	Information Technology	1999	3
Boca Raton, FL	Information Technology	2012	1
El Segundo, CA	Information Technology	2007	4
Waltham, MA	Information Technology	2008	2
Salt Lake City, UT	Information Technology	2003	1
San Jose, CA	Medical/Health/Life Science	2006	4
Portland, OR	Medical/Health/Life Science	2020	2
Carlsbad, CA	Non-High Technology	1989	1
West Hollywood, CA	Information Technology	2009	1
San Carlos, CA	Medical/Health/Life Science	1992	3
Aliso Viejo, CA	Medical/Health/Life Science	2016	1
Pinehurst, MA	Medical/Health/Life Science	2007	1
Boulder, CO	Information Technology	2018	8
Goleta, CA	Information Technology	1993	1
Redwood City, CA	Non-High Technology	1984	1
Eden Prairie, MN	Non-High Technology	2008	1
Chicago, IL	Medical/Health/Life Science	2020	2
The Woodlands, TX	Medical/Health/Life Science	1986	1
Burlington, MA	Information Technology	2009	2
Tysons Corner, VA	Information Technology	2003	6
Milwaukee, WI	Information Technology	2017	2
Horsham, PA	Information Technology	1987	2
Aliso Viejo, CA	Medical/Health/Life Science	2017	1
Raleigh, NC	Information Technology	2001	2
Plymouth, MN	Information Technology	1994	1
Stamford, CT	Non-High Technology	2000	1
Irvine, CA	Non-High Technology	1985	1
Louisville, CO	Medical/Health/Life Science	2019	1
Wellesley, MA	Information Technology	1988	1
Bellevue, WA	Medical/Health/Life Science	2020	1
Seattle, WA	Medical/Health/Life Science	2009	4
Sacramento, CA	Information Technology	2018	1
Westborough, MA	Information Technology	2005	3
Sacramento, CA	Medical/Health/Life Science	2015	1
San Francisco, CA	Information Technology	2006	61
Portland, OR	Information Technology	2009	2
Denver, CO	Information Technology	2007	5
Austin, TX	Non-High Technology	2004	3
Alexandria, VA	Information Technology	2001	2
Philadelphia, PA	Information Technology	1998	3
Washington, DC	Medical/Health/Life Science	2007	1
Santa Clara, CA	Information Technology	2003	20
St. Paul, MN	Medical/Health/Life Science	2005	1
Baltimore, MD	Information Technology	2001	2
New York, NY	Information Technology	1982	5
Chesterbrook, PA	Medical/Health/Life Science	2015	1
Atlanta, GA	Information Technology	2018	18
San Diego, CA	Non-High Technology	1985	2
Needham, MA	Information Technology	2018	1
Pasadena, CA	Medical/Health/Life Science	1988	2
Roswell, GA	Information Technology	1983	1
Phoenix, AZ	Information Technology	2018	3
San Mateo, CA	Medical/Health/Life Science	2004	1
Pittsburgh, PA	Non-High Technology	2006	1
Dallas, TX	Information Technology	1995	3
Boca Raton, FL	Information Technology	1996	2
Columbus, OH	Information Technology	2017	8
Birmingham, AL	Information Technology	2018	1
Stamford, CT	Information Technology	2002	2
Bothell, WA	Medical/Health/Life Science	1989	2
South San Francisco, CA	Medical/Health/Life Science	2009	2
Bethesda, MD	Non-High Technology	1989	1
Brentwood, TN	Medical/Health/Life Science	2006	2
Oklahoma City, OK	Information Technology	1997	1
Burlington, MA	Information Technology	1990	2
Mountain View, CA	Non-High Technology	1992	1
San Ramon, CA	Information Technology	2008	3
Woburn, MA	Non-High Technology	2008	3
Milpitas, CA	Non-High Technology	1983	1
Oakland, CA	Information Technology	1996	6
Champaign, IL	Medical/Health/Life Science	2013	1
Charlottesville, VA	Information Technology	1997	1
Sandy Springs, GA	Medical/Health/Life Science	2003	1
Cleveland, OH	Information Technology	1986	1
New Haven, CT	Medical/Health/Life Science	2016	5
Irving, TX	Non-High Technology	2004	2
Cleveland, OH	Non-High Technology	1987	1
San Jose, CA	Information Technology	2011	10
Milpitas, CA	Information Technology	2014	2
Bellevue, WA	Information Technology	1999	16
New York, NY	Non-High Technology	2019	35
Marlborough, MA	Non-High Technology	2007	2
San Jose, CA	Non-High Technology	1990	2
Durham, NC	Information Technology	2019	2
Waltham, MA	Information Technology	2018	3
West Hollywood, CA	Information Technology	2007	2
Sandy Springs, GA	Information Technology	2000	11
Belmont, CA	Information Technology	2000	3
Redwood City, CA	Information Technology	2015	13
Alpharetta, GA	Medical/Health/Life Science	2001	1
Boston, MA	Non-High Technology	1995	3
Columbus, OH	Non-High Technology	1986	2
Greenwood Village, CO	Information Technology	2004	1
Philadelphia, PA	Non-High Technology	2010	1
San Francisco, CA	Non-High Technology	2007	14
Scottsdale, AZ	Information Technology	1997	1
Lexington, MA	Medical/Health/Life Science	2004	2
Mountain View, CA	Information Technology	2007	14
Mountain View, CA	Information Technology	1994	5
Brisbane, CA	Medical/Health/Life Science	1998	2
Herndon, VA	Information Technology	2002	2
Santa Clara, CA	Non-High Technology	2006	1
San Francisco, CA	Medical/Health/Life Science	1995	1
San Diego, CA	Medical/Health/Life Science	2013	9
San Diego, CA	Information Technology	1999	23
Houston, TX	Information Technology	1997	2
Austin, TX	Information Technology	2012	21
Detroit, MI	Information Technology	2018	2
Cary, NC	Information Technology	2006	1
Alexandria, VA	Non-High Technology	1997	1
Burlington, MA	Information Technology	2012	2
Sandy Springs, GA	Medical/Health/Life Science	1995	1
Bellevue, WA	Information Technology	2004	3
Indianapolis city, IN	Information Technology	2013	2
Berkeley, CA	Information Technology	2020	10
Lowell, MA	Information Technology	1983	2
Pleasanton, CA	Medical/Health/Life Science	2016	1
Menlo Park, CA	Non-High Technology	2012	3
Madison, WI	Non-High Technology	2001	1
Mountain View, CA	Medical/Health/Life Science	2004	2
Johns Creek, GA	Medical/Health/Life Science	1999	1
Los Altos, CA	Medical/Health/Life Science	2011	1
Boulder, CO	Medical/Health/Life Science	2009	3
Cambridge, MA	Non-High Technology	2012	1
Tysons Corner, VA	Information Technology	2001	5
Los Gatos, CA	Information Technology	1995	6
Philadelphia, PA	Non-High Technology	2000	4
Kansas City, MO	Non-High Technology	1987	1
Raleigh, NC	Medical/Health/Life Science	1997	3
Cleveland, OH	Medical/Health/Life Science	1997	1
Baltimore, MD	Information Technology	1981	1
Carlsbad, CA	Information Technology	2003	4
Champaign, IL	Information Technology	1981	1
Nashville-Davidson, TN	Non-High Technology	2001	1
Sunnyvale, CA	Non-High Technology	2017	2
Sacramento, CA	Information Technology	2015	1
Memphis, TN	Non-High Technology	2015	2
Tucson, AZ	Medical/Health/Life Science	2019	2
Hayward, CA	Non-High Technology	2009	1
Johns Creek, GA	Non-High Technology	1991	1
Shelton, CT	Non-High Technology	1996	1
Boulder, CO	Information Technology	1998	10
Framingham, MA	Information Technology	1986	2
Seattle, WA	Information Technology	1992	1
Phoenix, AZ	Information Technology	1998	2
Sunnyvale, CA	Medical/Health/Life Science	1997	6
Norwalk, CT	Information Technology	1997	1
Atlanta, GA	Information Technology	2014	8
Phoenix, AZ	Information Technology	2000	4
Chicago, IL	Medical/Health/Life Science	1986	1
San Antonio, TX	Non-High Technology	1981	1
Westminster, CO	Information Technology	1998	1
Minnetonka, MN	Information Technology	1998	2
Westport, CT	Non-High Technology	1995	2
San Jose, CA	Medical/Health/Life Science	2011	4
Mountain View, CA	Non-High Technology	2016	1
Irvine, CA	Non-High Technology	2019	1
Aliso Viejo, CA	Information Technology	1985	1
Austin, TX	Non-High Technology	2005	5
San Diego, CA	Non-High Technology	1996	3
Louisville, CO	Information Technology	1999	1
Charlotte, NC	Medical/Health/Life Science	1999	1
Salt Lake City, UT	Information Technology	2017	4
San Diego, CA	Non-High Technology	1989	3
Seattle, WA	Non-High Technology	1991	1
Evanston, IL	Non-High Technology	2015	1
Cincinnati, OH	Medical/Health/Life Science	2020	1
Albuquerque, NM	Non-High Technology	2016	1
Morrisville, NC	Medical/Health/Life Science	2011	1
Brisbane, CA	Information Technology	1999	3
King of Prussia, PA	Medical/Health/Life Science	2009	2
Nashua, NH	Information Technology	2018	1
Seattle, WA	Information Technology	2000	33
Culver City, CA	Information Technology	1996	1
Bloomington, MN	Information Technology	1996	3
Atlanta, GA	Non-High Technology	2020	1
Mountain View, CA	Information Technology	2004	13
Emeryville, CA	Information Technology	2004	1
New Haven, CT	Information Technology	2007	2
Roswell, GA	Medical/Health/Life Science	1995	1
Framingham, MA	Medical/Health/Life Science	2006	1
Overland Park, KS	Medical/Health/Life Science	2006	1
South Plainfield, NJ	Non-High Technology	2012	1
Plymouth, MN	Medical/Health/Life Science	1997	1
Provo, UT	Information Technology	2015	3
Los Gatos, CA	Information Technology	2003	3
Birmingham, AL	Information Technology	2020	1
St. Paul, MN	Information Technology	2012	1
Oakland, CA	Medical/Health/Life Science	2002	1
Stamford, CT	Information Technology	2004	1
Westminster, CO	Medical/Health/Life Science	1998	1
Waltham, MA	Medical/Health/Life Science	2000	2
South Plainfield, NJ	Non-High Technology	2006	1
Minneapolis, MN	Information Technology	2015	3
Beaverton, OR	Information Technology	1997	1
Mountain View, CA	Non-High Technology	2011	2
Oakland, CA	Information Technology	1981	1
Burlingame, CA	Medical/Health/Life Science	2011	2
Bothell, WA	Medical/Health/Life Science	1986	1
Hillsboro, OR	Information Technology	1986	2
Denver, CO	Non-High Technology	2000	2
San Ramon, CA	Information Technology	1996	1
Phoenix, AZ	Medical/Health/Life Science	1992	1
Irving, TX	Information Technology	2011	1
Houston, TX	Medical/Health/Life Science	2006	5
Raleigh, NC	Information Technology	1995	1
Bellevue, WA	Non-High Technology	1998	3
Miami, FL	Non-High Technology	1982	1
Cincinnati, OH	Medical/Health/Life Science	2005	1
Cambridge, MA	Non-High Technology	1987	1
Denver, CO	Information Technology	2018	10
Mountain View, CA	Information Technology	2012	34
Ann Arbor, MI	Information Technology	2002	3
Peachtree Corners, GA	Information Technology	2000	7
Washington, DC	Information Technology	2005	3
Bellevue, WA	Medical/Health/Life Science	2007	2
Greenwood Village, CO	Information Technology	2002	1
Alameda, CA	Information Technology	2019	1
Dallas, TX	Non-High Technology	2007	2
Gaithersburg, MD	Information Technology	1998	1
St. Louis, MO	Medical/Health/Life Science	2017	1
West Concord, MA	Information Technology	2005	3
San Jose, CA	Information Technology	1991	7
Waltham, MA	Non-High Technology	1984	1
South San Francisco, CA	Medical/Health/Life Science	1994	2
Aliso Viejo, CA	Medical/Health/Life Science	1998	2
San Carlos, CA	Information Technology	2010	1
San Mateo, CA	Information Technology	2017	9
Tampa, FL	Medical/Health/Life Science	2007	1
Princeton Junction, NJ	Medical/Health/Life Science	1995	1
Culver City, CA	Information Technology	1997	1
Wellesley, MA	Information Technology	2012	2
Kirkland, WA	Information Technology	1985	1
Hayward, CA	Non-High Technology	2002	1
Redwood City, CA	Medical/Health/Life Science	2001	1
Nashville-Davidson, TN	Medical/Health/Life Science	2009	3
St. Paul, MN	Information Technology	1982	1
Indianapolis city, IN	Medical/Health/Life Science	2016	1
Cupertino, CA	Medical/Health/Life Science	1999	2
Lexington, MA	Medical/Health/Life Science	1994	2
Chesterbrook, PA	Information Technology	2003	1
Berkeley, CA	Information Technology	1992	1
Fremont, CA	Information Technology	1985	1
Minnetonka, MN	Information Technology	1992	1
Buffalo, NY	Information Technology	1992	1
Marlborough, MA	Information Technology	1998	3
Oakland, CA	Non-High Technology	1986	1
Sunnyvale, CA	Non-High Technology	2011	4
Santa Barbara, CA	Non-High Technology	2004	1
Minneapolis, MN	Medical/Health/Life Science	2009	1
Memphis, TN	Medical/Health/Life Science	1983	1
New York, NY	Information Technology	2009	48
Emeryville, CA	Information Technology	2005	4
Milwaukee, WI	Information Technology	2006	1
Boca Raton, FL	Information Technology	2019	1
Indianapolis city, IN	Information Technology	2010	1
Sacramento, CA	Non-High Technology	2017	1
Farmers Branch, TX	Information Technology	2015	1
Chicago, IL	Information Technology	1988	2
San Antonio, TX	Non-High Technology	1982	1
Denver, CO	Information Technology	1998	5
Newton, MA	Information Technology	2016	3
New York, NY	Medical/Health/Life Science	1995	1
Sandy Springs, GA	Information Technology	1982	1
Los Gatos, CA	Information Technology	2014	2
Marlborough, MA	Medical/Health/Life Science	1986	1
Longmont, CO	Information Technology	2010	1
Denver, CO	Non-High Technology	2017	4
Dallas, TX	Information Technology	2019	6
State College, PA	Information Technology	2017	2
San Rafael, CA	Information Technology	1995	1
Cambridge, MA	Medical/Health/Life Science	1999	2
Memphis, TN	Non-High Technology	1998	1
Cary, NC	Information Technology	2011	1
Houston, TX	Medical/Health/Life Science	2003	1
Cincinnati, OH	Information Technology	2009	1
Miami, FL	Non-High Technology	2000	1
South Plainfield, NJ	Information Technology	2002	1
Norwalk, CT	Non-High Technology	1997	1
St. Louis, MO	Medical/Health/Life Science	1986	1
Stamford, CT	Information Technology	1995	3
San Francisco, CA	Non-High Technology	2018	23
Reston, VA	Information Technology	2005	4
Campbell, CA	Information Technology	1992	1
Sandy Springs, GA	Information Technology	1997	2
New York, NY	Non-High Technology	2008	11
Newton, MA	Medical/Health/Life Science	2006	1
Cambridge, MA	Medical/Health/Life Science	2013	14
Providence, RI	Non-High Technology	2005	3
Santa Ana, CA	Medical/Health/Life Science	1981	1
Chantilly, VA	Non-High Technology	1993	1
San Carlos, CA	Information Technology	1984	1
Waltham, MA	Medical/Health/Life Science	2002	2
Greenwood Village, CO	Information Technology	2011	1
Raleigh, NC	Non-High Technology	2000	1
San Ramon, CA	Non-High Technology	1983	1
Westport, CT	Medical/Health/Life Science	2020	1
Sunnyvale, CA	Information Technology	2010	1
Tempe, AZ	Information Technology	2019	1
South San Francisco, CA	Non-High Technology	2016	4
Providence, RI	Information Technology	2011	2
Houston, TX	Non-High Technology	1999	6
Bloomington, MN	Non-High Technology	2008	1
Santa Monica, CA	Non-High Technology	1999	2
The Woodlands, TX	Non-High Technology	1991	1
Framingham, MA	Medical/Health/Life Science	1981	1
Los Gatos, CA	Non-High Technology	1990	1
Sunnyvale, CA	Medical/Health/Life Science	1988	1
Scottsdale, AZ	Non-High Technology	2013	1
New York, NY	Non-High Technology	2009	6
Boulder, CO	Information Technology	2017	5
Dallas, TX	Information Technology	1989	2
Walnut Creek, CA	Information Technology	2019	1
San Diego, CA	Non-High Technology	2016	3
Bethlehem, PA	Medical/Health/Life Science	2005	1
Cambridge, MA	Medical/Health/Life Science	2011	15
Sunnyvale, CA	Medical/Health/Life Science	2004	5
Beaverton, OR	Information Technology	1984	3
St. Louis, MO	Information Technology	2000	2
Evanston, IL	Medical/Health/Life Science	1996	1
Seattle, WA	Information Technology	1999	29
Beaverton, OR	Information Technology	1982	2
Seattle, WA	Medical/Health/Life Science	1992	2
Nashville-Davidson, TN	Information Technology	1999	3
Colorado Springs, CO	Information Technology	1998	3
Redwood City, CA	Medical/Health/Life Science	2008	2
Oakland, CA	Information Technology	2016	8
Pittsburgh, PA	Medical/Health/Life Science	2002	3
Berkeley, CA	Medical/Health/Life Science	1998	1
Woburn, MA	Non-High Technology	1998	2
Los Angeles, CA	Information Technology	1997	6
Durham, NC	Information Technology	2011	5
Berkeley, CA	Information Technology	2012	4
Chicago, IL	Non-High Technology	1994	2
Redmond, WA	Medical/Health/Life Science	1982	1
Jacksonville, FL	Information Technology	2010	1
Ann Arbor, MI	Non-High Technology	1981	1
Arlington, VA	Information Technology	2007	2
Burlington, MA	Information Technology	2002	10
Santa Monica, CA	Non-High Technology	2009	2
Milpitas, CA	Medical/Health/Life Science	2020	1
Washington, DC	Information Technology	2006	1
